Category,Ingredient,Avg_price_lb,Conventional_price_lb,Sustainable_price_lb,Default_sus,Menu_freq_f25
Beef,Beef Barbacoa Precooked, $ 7.16 , $ 7.16 , $ -   ,No,4
Beef,Beef Ground HALAL, $ 3.61 , $ 3.61 , $ -   ,No,3
Beef,Beef Brisket Whole HALAL, $ 5.60 , $ -   , $ 5.60 ,Yes,1
Beef,Beef Carne Asada Diced 1/4 Fully Cooked, $ 8.46 , $ 8.46 , $ -   ,No,1
Beef,Beef Chicken Fried, $ 0.35 , $ 0.35 , $ -   ,No,1
Beef,Beef Meatball Precooked, $ 5.64 , $ 5.64 , $ -   ,No,1
Beef,Beef Sirloin Philly Sliced HALAL, $ 8.43 , $ -   , $ 8.43 ,Yes,1
Chicken,Chicken 8 Cut HALAL, $ 2.62 , $ -   , $ 2.62 ,Yes,10
Chicken,Chicken Thigh Boneless HALAL, $ 1.98 , $ 1.98 , $ -   ,No,7
Chicken,Chicken Breast B/S Raw HALAL, $ 2.53 , $ 2.96 , $ 2.09 ,Yes,4
Chicken,Chicken Diced Dark Meat HALAL, $ 3.64 , $ 3.64 , $ -   ,No,4
Chicken,Chicken Tenderloin Breaded Precooked, $ 0.97 , $ 0.97 , $ -   ,No,3
Chicken,Chicken Breast B/S Raw 4 oz, $ 5.94 , $ 4.94 , $ 6.93 ,No,2
Chicken,Chicken Breast Fajita Cut, $ 3.15 , $ 3.15 , $ -   ,No,2
Chicken,Chicken Diced Meat Precooked, $ 4.02 , $ 4.02 , $ -   ,No,2
Chicken,Chicken Mandarin Orange with Sauce, $ 4.39 , $ 4.39 , $ -   ,No,2
Chicken,Chicken Thigh Bone In HALAL, $ 1.41 , $ 1.41 , $ -   ,No,2
Chicken,Chicken Thigh Boneless Precooked, $ 5.78 , $ 5.78 , $ -   ,No,2
Chicken,Chicken Breast Fajita Cut HALAL, $ 3.19 , $ 3.19 , $ -   ,No,1
Chicken,Chicken Tenderloin Breaded (HS) Halal, $ 4.60 , $ 4.60 , $ -   ,No,1
Chicken,Chicken Thigh Boneless, $ 3.49 , $ 1.69 , $ 5.29 ,No,1
Fish,Rockfish Fillet, $ 6.90 , $ 6.90 , $ -   ,,6
Fish,Salmon Fillet Standard, $ 8.28 , $ -   , $ 8.28 ,Yes,4
Fish,Cod Fillet Breaded, $ 9.91 , $ 9.91 , $ -   ,No,3
Fish,Catfish Fillet, $ 6.03 , $ 6.03 , $ -   ,No,1
Fish,Cod Fillet, $ 7.48 , $ 7.48 , $ -   ,No,1
Shellfish,Shrimp 31/40, $ 5.59 , $ 5.59 , $ -   ,,2
Shellfish,Shrimp 26/30, $ 5.69 , $ 5.69 , $ -   ,,1
Shellfish,Shrimp Breaded PopCorn Style, $ 4.59 , $ 4.59 , $ -   ,,1
Pork,Pork Stew Cut, $ 4.66 , $ 4.69 , $ 4.62 ,No,5
Pork,Pork Butt Boneless, $ 3.25 , $ 3.25 , $ -   ,No,2
Pork,Pork Carnitas Precooked, $ 5.75 , $ 5.75 , $ -   ,No,2
Pork,Pork Loin Boneless, $ 3.75 , $ -   , $ 3.75 ,Yes,2
Pork,Pork Ham Boneless, $ 4.30 , $ 4.30 , $ -   ,No,1
Turkey,Turkey Breast Boneless Skin On, $ 6.60 , $ 6.60 , $ -   ,No,1